Collection,Num Documents
Firefox for Enterprise - Reply,234
Firefox Focus,72
Firefox for Android - Reply,1094
Firefox OS - Reply,20
Thunderbird - Reply,20623
Firefox for Fire TV - Reply,21
Firefox for Fire TV,13
mainTopic,1
Firefox OS,11
Firefox - Reply,55446
Firefox for iOS,67
Thunderbird,5780
Firefox for Enterprise,53
Firefox Focus - Reply,130
Webmaker,1
Webmaker - Reply,3
Firefox for Amazon Devices,3
Firefox Lite,3
Firefox Reality - Reply,8
Firefox Lite - Reply,3
Firefox for iOS - Reply,172
Firefox,13562
users,20061
Firefox for Amazon Devices - Reply,9
Firefox for Android,536
Firefox Reality,5
